STHO,NasdaqGM:STHO,Star Holdings,Real Estate Operating Companies
WAB,NYSE:WAB,Westinghouse Air Brake Technologies Corporation,Construction Machinery and Heavy Transportation Equipment
JBHT,NasdaqGS:JBHT,"J.B. Hunt Transport Services, Inc.",Cargo Ground Transportation
FITB,NasdaqGS:FITB,Fifth Third Bancorp,Regional Banks
BMRN,NasdaqGS:BMRN,BioMarin Pharmaceutical Inc.,Biotechnology
NVR,NYSE:NVR,"NVR, Inc.",Homebuilding
PFG,NasdaqGS:PFG,"Principal Financial Group, Inc.",Life and Health Insurance
CAG,NYSE:CAG,"Conagra Brands, Inc.",Packaged Foods and Meats
CMS,NYSE:CMS,CMS Energy Corporation,Multi-Utilities
PLTR,NYSE:PLTR,Palantir Technologies Inc.,Application Software
FICO,NYSE:FICO,Fair Isaac Corporation,Application Software
CINF,NasdaqGS:CINF,Cincinnati Financial Corporation,Property and Casualty Insurance
MAA,NYSE:MAA,"Mid-America Apartment Communities, Inc.",Multi-Family Residential REITs
PAYC,NYSE:PAYC,"Paycom Software, Inc.",Application Software
FOX,NasdaqGS:FOX,Fox Corporation,Broadcasting
FOXA,NasdaqGS:FOXA,Fox Corporation,Broadcasting
SUI,NYSE:SUI,"Sun Communities, Inc.",Single-Family Residential REITs
HWM,NYSE:HWM,Howmet Aerospace Inc.,Aerospace and Defense
IEX,NYSE:IEX,IDEX Corporation,Industrial Machinery and Supplies and Components
RF,NYSE:RF,Regions Financial Corporation,Regional Banks
VTR,NYSE:VTR,"Ventas, Inc.",Health Care REITs
BALL,NYSE:BALL,Ball Corporation,"Metal, Glass and Plastic Containers"
FWON.A,NasdaqGS:FWON.A,Formula One Group,Movies and Entertainment
FWON.K,NasdaqGS:FWON.K,Formula One Group,Movies and Entertainment
BR,NYSE:BR,"Broadridge Financial Solutions, Inc.",Data Processing and Outsourced Services
EPAM,NYSE:EPAM,"EPAM Systems, Inc.",IT Consulting and Other Services
MKL,NYSE:MKL,Markel Corporation,Property and Casualty Insurance
BBY,NYSE:BBY,"Best Buy Co., Inc.",Computer and Electronics Retail
EXPD,NasdaqGS:EXPD,"Expeditors International of Washington, Inc.",Air Freight and Logistics
ZS,NasdaqGS:ZS,"Zscaler, Inc.",Systems Software
PKI,NYSE:PKI,"PerkinElmer, Inc.",Life Sciences Tools and Services
SJM,NYSE:SJM,The J. M. Smucker Company,Packaged Foods and Meats
TER,NasdaqGS:TER,"Teradyne, Inc.",Semiconductor Materials and Equipment
RCL,NYSE:RCL,Royal Caribbean Cruises Ltd.,"Hotels, Resorts and Cruise Lines"
AMCR,NYSE:AMCR,Amcor plc,Paper and Plastic Packaging Products and Materials
MGM,NYSE:MGM,MGM Resorts International,Casinos and Gaming
TRGP,NYSE:TRGP,Targa Resources Corp.,Oil and Gas Storage and Transportation
CPB,NYSE:CPB,Campbell Soup Company,Packaged Foods and Meats
TW,NasdaqGS:TW,Tradeweb Markets Inc.,Financial Exchanges and Data
UI,NYSE:UI,Ubiquiti Inc.,Communications Equipment
WRB,NYSE:WRB,W. R. Berkley Corporation,Property and Casualty Insurance
AXON,NasdaqGS:AXON,"Axon Enterprise, Inc.",Aerospace and Defense
ZBRA,NasdaqGS:ZBRA,Zebra Technologies Corporation,Electronic Equipment and Instruments
MDB,NasdaqGM:MDB,"MongoDB, Inc.",Internet Services and Infrastructure
WPC,NYSE:WPC,W. P. Carey Inc.,Diversified REITs
BRO,NYSE:BRO,"Brown & Brown, Inc.",Insurance Brokers
HBAN,NasdaqGS:HBAN,Huntington Bancshares Incorporated,Regional Banks
LYV,NYSE:LYV,"Live Nation Entertainment, Inc.",Movies and Entertainment
INCY,NasdaqGS:INCY,Incyte Corporation,Biotechnology
AES,NYSE:AES,The AES Corporation,Independent Power Producers and Energy Traders
ATO,NYSE:ATO,Atmos Energy Corporation,Gas Utilities
RPRX,NasdaqGS:RPRX,Royalty Pharma plc,Pharmaceuticals
LPLA,NasdaqGS:LPLA,LPL Financial Holdings Inc.,Investment Banking and Brokerage
FDS,NYSE:FDS,FactSet Research Systems Inc.,Financial Exchanges and Data
SPLK,NasdaqGS:SPLK,Splunk Inc.,Application Software
DGX,NYSE:DGX,Quest Diagnostics Incorporated,Health Care Services
COIN,NasdaqGS:COIN,"Coinbase Global, Inc.",Financial Exchanges and Data
MOH,NYSE:MOH,"Molina Healthcare, Inc.",Managed Health Care
FLT,NYSE:FLT,"FLEETCOR Technologies, Inc.",Transaction and Payment Processing Services
SIRI,NasdaqGS:SIRI,Sirius XM Holdings Inc.,Cable and Satellite
MOS,NYSE:MOS,The Mosaic Company,Fertilizers and Agricultural Chemicals
IRM,NYSE:IRM,Iron Mountain Incorporated,Other Specialized REITs
AGR,NYSE:AGR,"Avangrid, Inc.",Electric Utilities
FMC,NYSE:FMC,FMC Corporation,Fertilizers and Agricultural Chemicals
LW,NYSE:LW,"Lamb Weston Holdings, Inc.",Packaged Foods and Meats
LKQ,NasdaqGS:LKQ,LKQ Corporation,Distributors
PTC,NasdaqGS:PTC,PTC Inc.,Application Software
RS,NYSE:RS,Reliance Steel & Aluminum Co.,Steel
MRO,NYSE:MRO,Marathon Oil Corporation,Oil and Gas Exploration and Production
ARES,NYSE:ARES,Ares Management Corporation,Asset Management and Custody Banks
J,NYSE:J,Jacobs Solutions Inc.,Research and Consulting Services
EXPE,NasdaqGS:EXPE,"Expedia Group, Inc.","Hotels, Resorts and Cruise Lines"
TYL,NYSE:TYL,"Tyler Technologies, Inc.",Application Software
AZPN,NasdaqGS:AZPN,"Aspen Technology, Inc.",Application Software
WLK,NYSE:WLK,Westlake Corporation,Commodity Chemicals
MKTX,NasdaqGS:MKTX,MarketAxess Holdings Inc.,Financial Exchanges and Data
LCID,NasdaqGS:LCID,"Lucid Group, Inc.",Automobile Manufacturers
CFG,NYSE:CFG,"Citizens Financial Group, Inc.",Regional Banks
PARA,NasdaqGS:PARA,Paramount Global,Broadcasting
PARA.A,NasdaqGS:PARA.A,Paramount Global,Broadcasting
AVY,NYSE:AVY,Avery Dennison Corporation,Paper and Plastic Packaging Products and Materials
UAL,NasdaqGS:UAL,"United Airlines Holdings, Inc.",Passenger Airlines
TXT,NYSE:TXT,Textron Inc.,Aerospace and Defense
RIVN,NasdaqGS:RIVN,"Rivian Automotive, Inc.",Automobile Manufacturers
IPG,NYSE:IPG,"The Interpublic Group of Companies, Inc.",Advertising
BG,NYSE:BG,Bunge Limited,Agricultural Products and Services
AVTR,NYSE:AVTR,"Avantor, Inc.",Life Sciences Tools and Services
CF,NYSE:CF,"CF Industries Holdings, Inc.",Fertilizers and Agricultural Chemicals
CBOE,BATS:CBOE,"Cboe Global Markets, Inc.",Financial Exchanges and Data
BIO,NYSE:BIO,"Bio-Rad Laboratories, Inc.",Life Sciences Tools and Services
SSNC,NasdaqGS:SSNC,"SS&C Technologies Holdings, Inc.",Data Processing and Outsourced Services
FCNC.A,NasdaqGS:FCNC.A,"First Citizens BancShares, Inc.",Regional Banks
EVRG,NasdaqGS:EVRG,"Evergy, Inc.",Electric Utilities
RE,NYSE:RE,"Everest Re Group, Ltd.",Reinsurance
OKTA,NasdaqGS:OKTA,"Okta, Inc.",Internet Services and Infrastructure
ETSY,NasdaqGS:ETSY,"Etsy, Inc.",Broadline Retail
GLPI,NasdaqGS:GLPI,"Gaming and Leisure Properties, Inc.",Other Specialized REITs
NTAP,NasdaqGS:NTAP,"NetApp, Inc.","Technology Hardware, Storage and Peripherals"
UDR,NYSE:UDR,"UDR, Inc.",Multi-Family Residential REITs
ESS,NYSE:ESS,"Essex Property Trust, Inc.",Multi-Family Residential REITs
BEN,NYSE:BEN,"Franklin Resources, Inc.",Asset Management and Custody Banks
BSY,NasdaqGS:BSY,"Bentley Systems, Incorporated",Application Software
LNT,NasdaqGS:LNT,Alliant Energy Corporation,Electric Utilities
L,NYSE:L,Loews Corporation,Property and Casualty Insurance
POOL,NasdaqGS:POOL,Pool Corporation,Distributors
LSCC,NasdaqGS:LSCC,Lattice Semiconductor Corporation,Semiconductors
SNA,NYSE:SNA,Snap-on Incorporated,Industrial Machinery and Supplies and Components
TPL,NYSE:TPL,Texas Pacific Land Corporation,Oil and Gas Exploration and Production
PHM,NYSE:PHM,"PulteGroup, Inc.",Homebuilding
HUBB,NYSE:HUBB,Hubbell Incorporated,Electrical Components and Equipment
BURL,NYSE:BURL,"Burlington Stores, Inc.",Apparel Retail
CCL,NYSE:CCL,Carnival Corporation & plc,"Hotels, Resorts and Cruise Lines"
TRMB,NasdaqGS:TRMB,Trimble Inc.,Electronic Equipment and Instruments
NDSN,NasdaqGS:NDSN,Nordson Corporation,Industrial Machinery and Supplies and Components
WYNN,NasdaqGS:WYNN,"Wynn Resorts, Limited",Casinos and Gaming
SYF,NYSE:SYF,Synchrony Financial,Consumer Finance
BEPC,NYSE:BEPC,Brookfield Renewable Corporation,Renewable Electricity
LDOS,NYSE:LDOS,"Leidos Holdings, Inc.",Research and Consulting Services
IP,NYSE:IP,International Paper Company,Paper and Plastic Packaging Products and Materials
ELS,NYSE:ELS,"Equity LifeStyle Properties, Inc.",Single-Family Residential REITs
TWLO,NYSE:TWLO,Twilio Inc.,Internet Services and Infrastructure
PKG,NYSE:PKG,Packaging Corporation of America,Paper and Plastic Packaging Products and Materials
SWK,NYSE:SWK,"Stanley Black & Decker, Inc.",Industrial Machinery and Supplies and Components
ENTG,NasdaqGS:ENTG,"Entegris, Inc.",Semiconductor Materials and Equipment
GGG,NYSE:GGG,Graco Inc.,Industrial Machinery and Supplies and Components
BAH,NYSE:BAH,Booz Allen Hamilton Holding Corporation,Research and Consulting Services
BLDR,NYSE:BLDR,"Builders FirstSource, Inc.",Building Products
AKAM,NasdaqGS:AKAM,"Akamai Technologies, Inc.",Internet Services and Infrastructure
DT,NYSE:DT,"Dynatrace, Inc.",Application Software
U,NYSE:U,Unity Software Inc.,Application Software
DKS,NYSE:DKS,"DICK'S Sporting Goods, Inc.",Other Specialty Retail
SRPT,NasdaqGS:SRPT,"Sarepta Therapeutics, Inc.",Biotechnology
ERIE,NasdaqGS:ERIE,Erie Indemnity Company,Property and Casualty Insurance
EXAS,NasdaqCM:EXAS,Exact Sciences Corporation,Biotechnology
KIM,NYSE:KIM,Kimco Realty Corporation,Retail REITs
CE,NYSE:CE,Celanese Corporation,Specialty Chemicals
WDC,NasdaqGS:WDC,Western Digital Corporation,"Technology Hardware, Storage and Peripherals"
PEAK,NYSE:PEAK,"Healthpeak Properties, Inc.",Health Care REITs
TRU,NYSE:TRU,TransUnion,Research and Consulting Services
LBRD.A,NasdaqGS:LBRD.A,Liberty Broadband Corporation,Cable and Satellite
LBRD.K,NasdaqGS:LBRD.K,Liberty Broadband Corporation,Cable and Satellite
GDDY,NYSE:GDDY,GoDaddy Inc.,Internet Services and Infrastructure
TFX,NYSE:TFX,Teleflex Incorporated,Health Care Equipment
H,NYSE:H,Hyatt Hotels Corporation,"Hotels, Resorts and Cruise Lines"
DECK,NYSE:DECK,Deckers Outdoor Corporation,Footwear
ACI,NYSE:ACI,"Albertsons Companies, Inc.",Food Retail
CTLT,NYSE:CTLT,"Catalent, Inc.",Pharmaceuticals
DOCU,NasdaqGS:DOCU,"DocuSign, Inc.",Application Software
HST,NasdaqGS:HST,"Host Hotels & Resorts, Inc.",Hotel and Resort REITs
JBL,NYSE:JBL,Jabil Inc.,Electronic Manufacturing Services
REXR,NYSE:REXR,"Rexford Industrial Realty, Inc.",Industrial REITs
ACM,NYSE:ACM,AECOM,Construction and Engineering
DPZ,NYSE:DPZ,"Domino's Pizza, Inc.",Restaurants
TECH,NasdaqGS:TECH,Bio-Techne Corporation,Life Sciences Tools and Services
TTC,NYSE:TTC,The Toro Company,Agricultural and Farm Machinery
DOX,NasdaqGS:DOX,Amdocs Limited,IT Consulting and Other Services
KEY,NYSE:KEY,KeyCorp,Regional Banks
CHRW,NasdaqGS:CHRW,"C.H. Robinson Worldwide, Inc.",Air Freight and Logistics
BRKR,NasdaqGS:BRKR,Bruker Corporation,Life Sciences Tools and Services
NI,NYSE:NI,NiSource Inc.,Multi-Utilities
WTRG,NYSE:WTRG,"Essential Utilities, Inc.",Water Utilities
CSL,NYSE:CSL,Carlisle Companies Incorporated,Building Products
WSO,NYSE:WSO,"Watsco, Inc.",Trading Companies and Distributors
VTRS,NasdaqGS:VTRS,Viatris Inc.,Pharmaceuticals
EQT,NYSE:EQT,EQT Corporation,Oil and Gas Exploration and Production
BWA,NYSE:BWA,BorgWarner Inc.,Automotive Parts and Equipment
FIVE,NasdaqGS:FIVE,"Five Below, Inc.",Other Specialty Retail
CPT,NYSE:CPT,Camden Property Trust,Multi-Family Residential REITs
AMH,NYSE:AMH,American Homes 4 Rent,Single-Family Residential REITs
CDAY,NYSE:CDAY,Ceridian HCM Holding Inc.,Application Software
CG,NasdaqGS:CG,The Carlyle Group Inc.,Asset Management and Custody Banks
RPM,NYSE:RPM,RPM International Inc.,Specialty Chemicals
TAP,NYSE:TAP,Molson Coors Beverage Company,Brewers
APA,NasdaqGS:APA,APA Corporation,Oil and Gas Exploration and Production
MAS,NYSE:MAS,Masco Corporation,Building Products
LSI,NYSE:LSI,"Life Storage, Inc.",Self-Storage REITs
PCTY,NasdaqGS:PCTY,Paylocity Holding Corporation,Application Software
JNPR,NYSE:JNPR,"Juniper Networks, Inc.",Communications Equipment
JKHY,NasdaqGS:JKHY,"Jack Henry & Associates, Inc.",Transaction and Payment Processing Services
GEN,NasdaqGS:GEN,Gen Digital Inc.,Systems Software
MTCH,NasdaqGS:MTCH,"Match Group, Inc.",Interactive Media and Services
HSIC,NasdaqGS:HSIC,"Henry Schein, Inc.",Health Care Distributors
PEN,NYSE:PEN,"Penumbra, Inc.",Health Care Equipment
GL,NYSE:GL,Globe Life Inc.,Life and Health Insurance
CNA,NYSE:CNA,CNA Financial Corporation,Property and Casualty Insurance
SCI,NYSE:SCI,Service Corporation International,Specialized Consumer Services
CZR,NasdaqGS:CZR,"Caesars Entertainment, Inc.",Casinos and Gaming
QGEN,NYSE:QGEN,Qiagen N.V.,Life Sciences Tools and Services
FND,NYSE:FND,"Floor & Decor Holdings, Inc.",Home Improvement Retail
REG,NasdaqGS:REG,Regency Centers Corporation,Retail REITs
AOS,NYSE:AOS,A. O. Smith Corporation,Building Products
CUBE,NYSE:CUBE,CubeSmart,Self-Storage REITs
CRBG,NYSE:CRBG,"Corebridge Financial, Inc.",Diversified Financial Services
Z,NasdaqGS:Z,"Zillow Group, Inc.",Real Estate Services
ZG,NasdaqGS:ZG,"Zillow Group, Inc.",Real Estate Services
UTHR,NasdaqGS:UTHR,United Therapeutics Corporation,Biotechnology
AFG,NYSE:AFG,"American Financial Group, Inc.",Property and Casualty Insurance
UHAL,NYSE:UHAL,U-Haul Holding Company,Cargo Ground Transportation
UHAL.B,NYSE:UHAL.B,U-Haul Holding Company,Cargo Ground Transportation
CRL,NYSE:CRL,"Charles River Laboratories International, Inc.",Life Sciences Tools and Services
COTY,NYSE:COTY,Coty Inc.,Personal Care Products
CHK,NasdaqGS:CHK,Chesapeake Energy Corporation,Oil and Gas Exploration and Production
RBA,NYSE:RBA,Ritchie Bros. Auctioneers Incorporated,Diversified Support Services
BJ,NYSE:BJ,"BJ's Wholesale Club Holdings, Inc.",Consumer Staples Merchandise Retail
TPR,NYSE:TPR,"Tapestry, Inc.","Apparel, Accessories and Luxury Goods"
LAMR,NasdaqGS:LAMR,Lamar Advertising Company,Other Specialized REITs
KMX,NYSE:KMX,"CarMax, Inc.",Automotive Retail
QRVO,NasdaqGS:QRVO,"Qorvo, Inc.",Semiconductors
AGCO,NYSE:AGCO,AGCO Corporation,Agricultural and Farm Machinery
EMN,NYSE:EMN,Eastman Chemical Company,Specialty Chemicals
ZI,NasdaqGS:ZI,ZoomInfo Technologies Inc.,Interactive Media and Services
NWS,NasdaqGS:NWS,News Corporation,Publishing
NWSA,NasdaqGS:NWSA,News Corporation,Publishing
CCK,NYSE:CCK,"Crown Holdings, Inc.","Metal, Glass and Plastic Containers"
AGL,NYSE:AGL,"agilon health, inc.",Health Care Services
PAG,NYSE:PAG,"Penske Automotive Group, Inc.",Automotive Retail
PATH,NYSE:PATH,UiPath Inc.,Systems Software
NBIX,NasdaqGS:NBIX,"Neurocrine Biosciences, Inc.",Biotechnology
LECO,NasdaqGS:LECO,"Lincoln Electric Holdings, Inc.",Industrial Machinery and Supplies and Components
MASI,NasdaqGS:MASI,Masimo Corporation,Health Care Equipment
MANH,NasdaqGS:MANH,"Manhattan Associates, Inc.",Application Software
WSC,NasdaqCM:WSC,WillScot Mobile Mini Holdings Corp.,Construction and Engineering
AAL,NasdaqGS:AAL,American Airlines Group Inc.,Passenger Airlines
CHDN,NasdaqGS:CHDN,Churchill Downs Incorporated,Casinos and Gaming
FHN,NYSE:FHN,First Horizon Corporation,Regional Banks
FNF,NYSE:FNF,"Fidelity National Financial, Inc.",Property and Casualty Insurance
DINO,NYSE:DINO,HF Sinclair Corporation,Oil and Gas Refining and Marketing
OSH,NYSE:OSH,"Oak Street Health, Inc.",Health Care Services
NLY,NYSE:NLY,"Annaly Capital Management, Inc.",Mortgage REITs
CLF,NYSE:CLF,Cleveland-Cliffs Inc.,Steel
MTN,NYSE:MTN,"Vail Resorts, Inc.",Leisure Facilities
PFGC,NYSE:PFGC,Performance Food Group Company,Food Distributors
ALLE,NYSE:ALLE,Allegion plc,Building Products
RGEN,NasdaqGS:RGEN,Repligen Corporation,Life Sciences Tools and Services
TOST,NYSE:TOST,"Toast, Inc.",Transaction and Payment Processing Services
DAR,NYSE:DAR,Darling Ingredients Inc.,Agricultural Products and Services
ARMK,NYSE:ARMK,Aramark,Restaurants
RRX,NYSE:RRX,Regal Rexnord Corporation,Electrical Components and Equipment
JAZZ,NasdaqGS:JAZZ,Jazz Pharmaceuticals plc,Pharmaceuticals
ROKU,NasdaqGS:ROKU,"Roku, Inc.",Movies and Entertainment
ALGM,NasdaqGS:ALGM,"Allegro MicroSystems, Inc.",Semiconductors
EQH,NYSE:EQH,"Equitable Holdings, Inc.",Diversified Financial Services
VST,NYSE:VST,Vistra Corp.,Independent Power Producers and Energy Traders
LSXM.A,NasdaqGS:LSXM.A,The Liberty SiriusXM Group,Cable and Satellite
LSXM.K,NasdaqGS:LSXM.K,The Liberty SiriusXM Group,Cable and Satellite
PNR,NYSE:PNR,Pentair plc,Industrial Machinery and Supplies and Components
KNX,NYSE:KNX,Knight-Swift Transportation Holdings Inc.,Cargo Ground Transportation
SNX,NYSE:SNX,TD SYNNEX Corporation,Technology Distributors
UHS,NYSE:UHS,"Universal Health Services, Inc.",Health Care Facilities
PNW,NYSE:PNW,Pinnacle West Capital Corporation,Electric Utilities
DKNG,NasdaqGS:DKNG,DraftKings Inc.,Casinos and Gaming
BKI,NYSE:BKI,"Black Knight, Inc.",Application Software
LII,NYSE:LII,Lennox International Inc.,Building Products
VFC,NYSE:VFC,V.F. Corporation,"Apparel, Accessories and Luxury Goods"
RGA,NYSE:RGA,"Reinsurance Group of America, Incorporated",Reinsurance
PCOR,NYSE:PCOR,"Procore Technologies, Inc.",Application Software
FFIV,NasdaqGS:FFIV,"F5, Inc.",Communications Equipment
RNR,NYSE:RNR,RenaissanceRe Holdings Ltd.,Reinsurance
OVV,NYSE:OVV,Ovintiv Inc.,Oil and Gas Exploration and Production
HOOD,NasdaqGS:HOOD,"Robinhood Markets, Inc.",Investment Banking and Brokerage
OC,NYSE:OC,Owens Corning,Building Products
BILL,NYSE:BILL,"BILL Holdings, Inc.",Application Software
MORN,NasdaqGS:MORN,"Morningstar, Inc.",Financial Exchanges and Data
USFD,NYSE:USFD,US Foods Holding Corp.,Food Distributors
CGNX,NasdaqGS:CGNX,Cognex Corporation,Electronic Equipment and Instruments
RHI,NYSE:RHI,Robert Half International Inc.,Human Resource and Employment Services
RGLD,NasdaqGS:RGLD,"Royal Gold, Inc.",Gold
IBKR,NasdaqGS:IBKR,"Interactive Brokers Group, Inc.",Investment Banking and Brokerage
G,NYSE:G,Genpact Limited,Data Processing and Outsourced Services
BXP,NYSE:BXP,"Boston Properties, Inc.",Office REITs
XRAY,NasdaqGS:XRAY,DENTSPLY SIRONA Inc.,Health Care Supplies
BBWI,NYSE:BBWI,"Bath & Body Works, Inc.",Other Specialty Retail
HII,NYSE:HII,"Huntington Ingalls Industries, Inc.",Aerospace and Defense
LEA,NYSE:LEA,Lear Corporation,Automotive Parts and Equipment
DLB,NYSE:DLB,"Dolby Laboratories, Inc.",Systems Software
WOLF,NYSE:WOLF,"Wolfspeed, Inc.",Semiconductors
CASY,NasdaqGS:CASY,"Casey's General Stores, Inc.",Food Retail
WSM,NYSE:WSM,"Williams-Sonoma, Inc.",Homefurnishing Retail
FRT,NYSE:FRT,Federal Realty Investment Trust,Retail REITs
NNN,NYSE:NNN,"National Retail Properties, Inc.",Retail REITs
CHE,NYSE:CHE,Chemed Corporation,Health Care Services
NRG,NYSE:NRG,"NRG Energy, Inc.",Electric Utilities
WEX,NYSE:WEX,WEX Inc.,Transaction and Payment Processing Services
DCI,NYSE:DCI,"Donaldson Company, Inc.",Industrial Machinery and Supplies and Components
SWAV,NasdaqGS:SWAV,"Shockwave Medical, Inc.",Health Care Equipment
WCC,NYSE:WCC,"WESCO International, Inc.",Trading Companies and Distributors
MIDD,NasdaqGS:MIDD,The Middleby Corporation,Industrial Machinery and Supplies and Components
IRDM,NasdaqGS:IRDM,Iridium Communications Inc.,Alternative Carriers
CIEN,NYSE:CIEN,Ciena Corporation,Communications Equipment
GPK,NYSE:GPK,Graphic Packaging Holding Company,Paper and Plastic Packaging Products and Materials
EWBC,NasdaqGS:EWBC,"East West Bancorp, Inc.",Regional Banks
TTEK,NasdaqGS:TTEK,"Tetra Tech, Inc.",Environmental and Facilities Services
CROX,NasdaqGS:CROX,"Crocs, Inc.",Footwear
UNM,NYSE:UNM,Unum Group,Life and Health Insurance
WRK,NYSE:WRK,WestRock Company,Paper and Plastic Packaging Products and Materials
EME,NYSE:EME,"EMCOR Group, Inc.",Construction and Engineering
DBX,NasdaqGS:DBX,"Dropbox, Inc.",Application Software
ATR,NYSE:ATR,"AptarGroup, Inc.","Metal, Glass and Plastic Containers"
SEIC,NasdaqGS:SEIC,SEI Investments Company,Asset Management and Custody Banks
PSTG,NYSE:PSTG,"Pure Storage, Inc.","Technology Hardware, Storage and Peripherals"
CLH,NYSE:CLH,"Clean Harbors, Inc.",Environmental and Facilities Services
RL,NYSE:RL,Ralph Lauren Corporation,"Apparel, Accessories and Luxury Goods"
CAR,NasdaqGS:CAR,"Avis Budget Group, Inc.",Passenger Ground Transportation
COLD,NYSE:COLD,"Americold Realty Trust, Inc.",Industrial REITs
ALLY,NYSE:ALLY,Ally Financial Inc.,Consumer Finance
ST,NYSE:ST,Sensata Technologies Holding plc,Electrical Components and Equipment
APLS,NasdaqGS:APLS,"Apellis Pharmaceuticals, Inc.",Biotechnology
AA,NYSE:AA,Alcoa Corporation,Aluminum
OGE,NYSE:OGE,OGE Energy Corp.,Electric Utilities
KBR,NYSE:KBR,"KBR, Inc.",Research and Consulting Services
IVZ,NYSE:IVZ,Invesco Ltd.,Asset Management and Custody Banks
FBIN,NYSE:FBIN,"Fortune Brands Innovations, Inc.",Building Products
HAS,NasdaqGS:HAS,"Hasbro, Inc.",Leisure Products
SKX,NYSE:SKX,"Skechers U.S.A., Inc.",Footwear
HR,NYSE:HR,Healthcare Realty Trust Incorporated,Health Care REITs
DVA,NYSE:DVA,DaVita Inc.,Health Care Services
OLED,NasdaqGS:OLED,Universal Display Corporation,Semiconductors
NOV,NYSE:NOV,NOV Inc.,Oil and Gas Equipment and Services
UGI,NYSE:UGI,UGI Corporation,Gas Utilities
CBSH,NasdaqGS:CBSH,"Commerce Bancshares, Inc.",Regional Banks
ARW,NYSE:ARW,"Arrow Electronics, Inc.",Technology Distributors
OLN,NYSE:OLN,Olin Corporation,Commodity Chemicals
MTZ,NYSE:MTZ,"MasTec, Inc.",Construction and Engineering
ORI,NYSE:ORI,Old Republic International Corporation,Property and Casualty Insurance
TXRH,NasdaqGS:TXRH,"Texas Roadhouse, Inc.",Restaurants
JEF,NYSE:JEF,Jefferies Financial Group Inc.,Investment Banking and Brokerage
SAIA,NasdaqGS:SAIA,"Saia, Inc.",Cargo Ground Transportation
